"BIRD_ID","PIT_TAG","SPEC","DATE","Period","TIME","Capture_site","METHOD","TARSUS","TARS_L1","TARS_L2","TARS_R1","TARS_R2","WING","MASS","SEX","AGE"
"57V84701",,"Pm","3/5/2015","Spring2015","10:49",,"mistnet",20.3,,,,,80,,"m","AD"
"57V84702",,"Pm","3/5/2015","Spring2015","11:30",,"mistnet",19.7,,,,,75,,"f","AD"
"57V84703",,"Pm","3/5/2015","Spring2015","11:45",,"mistnet",20.3,,,,,,,"m",
"57V84704",,"Pm","3/5/2015","Spring2015","11:45",,"mistnet",19.92,,,,,79,,"m","AD"
"57V84705",,"Pm","3/5/2015","Spring2015","13:10",,"mistnet",20.15,,,,,74,,"f","1Y"
"57V84706",,"Pm","3/5/2015","Spring2015","13:10",,"mistnet",20.27,,,,,79,,"m","AD"
"57V84707",,"Pm","3/5/2015","Spring2015","13:37",,"mistnet",19.23,,,,,78,,"m","1Y"
"57V84701",,"Pm","3/25/2015","Spring2015","9:55",,"mistnet",20.25,,,,,80,18.02,"m","AD"
"57V84707",,"Pm","3/25/2015","Spring2015","10:00",,"mistnet",19.3,,,,,77,17.85,"m","1Y"
"57V84708",,"Pm","3/25/2015","Spring2015","9:55",,"mistnet",,,,,,,,,
"57V84709",,"Pm","3/25/2015","Spring2015","10:00",,"mistnet",19.83,,,,,77,17.01,"f","1Y"
"57V84710",,"Pm","3/25/2015","Spring2015","10:15",,"mistnet",20.03,,,,,75,17.62,"f","1Y"
"57V84706",,"Pm","3/26/2015","Spring2015","10:15",,"Funnel",20.26,,,,,76,,"m","AD"
"57V84711",,"Pm","3/26/2015","Spring2015","10:15",,"Funnel",18.7,,,,,73,16.7,"f","1Y"
"57V84705",,"Pm","4/7/2015","Spring2015","9:19",,"Funnel",19.9,,,,,74,17.7,"f","1Y"
"57V84706",,"Pm","4/7/2015","Spring2015","9:06",,"Funnel",20.5,,,,,77,18.9,"m","AD"
"57V84711",,"Pm","4/7/2015","Spring2015","10:50",,"Funnel",19.35,,,,,72,17.3,"f","1Y"
12126408,"0700EDD410","Pc","5/5/2015","Breeding2015","12:00","24_3","nestbox",17.38,,,,,66,11.2,"f","AD"
12126409,"0700EDF45A","Pc","5/5/2015","Breeding2015","12:15","24_3","nestbox",17.32,,,,,65,11.3,"m","AD"
"57V84727","0700EE1E8D","Pm","5/12/2015","Breeding2015","17:13","24_2","nestbox",19.23,,,,,72,17.4,"f","AD"
12126414,"0700EE2CEB","Pc","5/13/2015","Breeding2015","9:35","22_4","nestbox",16.14,,,,,69,10.86,"m","AD"
12126415,"0700EE0849","Pc","5/13/2015","Breeding2015","9:40","22_4","nestbox",15.95,,,,,65,11.17,"f","AD"
12126416,"0700EDCAA6","Pc","5/13/2015","Breeding2015","10:45","23_4","nestbox",16.69,,,,,65,10.45,"m","AD"
"57V84726","0700EE1299","Pm","5/13/2015","Breeding2015","9:50","22_1","nestbox",19.73,,,,,75,18.11,"f","AD"
12126201,,"Pc","5/14/2015","Breeding2015","9:00","24_3","nestbox",,,,,,,10.65,"u","Pullus"
12626421,,"Pc","5/14/2015","Breeding2015","9:00","24_3","nestbox",,,,,,,,"u","Pullus"
12626422,,"Pc","5/14/2015","Breeding2015","9:00","24_3","nestbox",,,,,,,11.14,"u","Pullus"
12626427,,"Pc","5/14/2015","Breeding2015","9:00","24_3","nestbox",,,,,,,11,"u","Pullus"
12626430,,"Pc","5/14/2015","Breeding2015","9:00","24_3","nestbox",,,,,,,10.5,"u","Pullus"
12126269,"0700ED8C9F","Pc","5/17/2015","Breeding2015","16:15","22_3","nestbox",16.8,,,,,,10.83,"f","AD"
12126270,"0700EDDFBB","Pc","5/17/2015","Breeding2015","16:30","22_3","nestbox",17.84,,,,,68,11.52,"m","AD"
"58V92954","0700EDAA0F","Pm","5/17/2015","Breeding2015","15:15","24_1","nestbox",19.73,,,,,,18.37,"f","1Y"
"58V92955","0700ED9C52","Pm","5/17/2015","Breeding2015","17:30","23_1","nestbox",19.4,,,,,75,16.98,"m","AD"
"58V92956","0700EDC565","Pm","5/18/2015","Breeding2015","10:10","23_1","nestbox",18.95,,,,,74,17.77,"f","1Y"
"58V92957","0700ED94AA","Pm","5/18/2015","Breeding2015","10:25","23_3","nestbox",18.95,,,,,76,18.4,"m","AD"
11024403,,"Pc","5/21/2015","Breeding2015","17:05","23_4","nestbox",16.55,,,,,,11.58,"u","Pullus"
11024404,,"Pc","5/21/2015","Breeding2015","17:05","23_4","nestbox",,,,,,,12.75,"u","Pullus"
11024405,,"Pc","5/21/2015","Breeding2015","17:05","23_4","nestbox",17.66,,,,,,12.95,"u","Pullus"
11024406,,"Pc","5/21/2015","Breeding2015","17:05","23_4","nestbox",,,,,,,11.9,"u","Pullus"
11024407,,"Pc","5/21/2015","Breeding2015","17:05","23_4","nestbox",,,,,,,12.66,"u","Pullus"
11024408,,"Pc","5/21/2015","Breeding2015","17:05","23_4","nestbox",,,,,,,10.48,"u","Pullus"
11024409,,"Pc","5/21/2015","Breeding2015","17:05","23_4","nestbox",,,,,,,12.02,"u","Pullus"
11024410,,"Pc","5/21/2015","Breeding2015","17:05","23_4","nestbox",17.13,,,,,,11.63,"u","Pullus"
11024411,,"Pc","5/21/2015","Breeding2015","17:20","23_4","nestbox",,,,,,,11.76,"u","Pullus"
11024412,,"Pc","5/21/2015","Breeding2015","17:20","23_4","nestbox",,,,,,,11.66,"u","Pullus"
11024413,,"Pc","5/21/2015","Breeding2015","17:20","23_4","nestbox",,,,,,,11.45,"u","Pullus"
11024414,,"Pc","5/21/2015","Breeding2015","17:20","23_4","nestbox",17.25,,,,,,11.99,"u","Pullus"
11024473,,"Pc","5/25/2015","Breeding2015","9:25","22_4","nestbox",16.52,,,,,,9.57,"u","Pullus"
11024474,,"Pc","5/25/2015","Breeding2015","9:25","22_4","nestbox",,,,,,,9.37,"u","Pullus"
11024475,,"Pc","5/25/2015","Breeding2015","9:25","22_4","nestbox",,,,,,,9.94,"u","Pullus"
11024476,,"Pc","5/25/2015","Breeding2015","9:25","22_4","nestbox",,,,,,,6.12,"u","Pullus"
11024477,,"Pc","5/25/2015","Breeding2015","9:25","22_4","nestbox",16.04,,,,,,10.92,"u","Pullus"
11024478,,"Pc","5/25/2015","Breeding2015","9:25","22_4","nestbox",,,,,,,9.99,"u","Pullus"
11024479,,"Pc","5/25/2015","Breeding2015","9:25","22_4","nestbox",17.56,,,,,,7.95,"u","Pullus"
11024480,,"Pc","5/25/2015","Breeding2015","9:25","22_4","nestbox",16.11,,,,,,8.36,"u","Pullus"
11024481,,"Pc","5/25/2015","Breeding2015","9:25","22_3","nestbox",,,,,,,11,"u","Pullus"
11024482,,"Pc","5/25/2015","Breeding2015","9:25","22_3","nestbox",17.57,,,,,,11.3,"u","Pullus"
11024483,,"Pc","5/25/2015","Breeding2015","9:50","22_3","nestbox",16.73,,,,,,10.34,"u","Pullus"
11024484,,"Pc","5/25/2015","Breeding2015","9:50","22_3","nestbox",17.03,,,,,,11.12,"u","Pullus"
11024485,,"Pc","5/25/2015","Breeding2015","9:50","22_3","nestbox",,,,,,,11.86,"u","Pullus"
11024486,,"Pc","5/25/2015","Breeding2015","9:50","22_3","nestbox",,,,,,,10.8,"u","Pullus"
11024487,,"Pc","5/25/2015","Breeding2015","9:50","22_3","nestbox",,,,,,,10.86,"u","Pullus"
11024488,,"Pc","5/25/2015","Breeding2015","9:50","22_3","nestbox",16.86,,,,,,11.31,"u","Pullus"
11024489,,"Pc","5/25/2015","Breeding2015","9:50","22_3","nestbox",17,,,,,,11.02,"u","Pullus"
"58V92648","0700EDCA33","Pm","5/25/2015","Breeding2015","8:40","24_4","nestbox",17.68,,,,,74,16.91,"f","AD"
"58V92649","0700EDEB7A","Pm","5/25/2015","Breeding2015","8:55","24_4","nestbox",20.37,,,,,77,17.15,"m","AD"
"58V92650",,"Pm","5/25/2015","Breeding2015","10:05","23_2","nestbox",20.11,,,,,,17.42,"u","Pullus"
"58V92651",,"Pm","5/25/2015","Breeding2015","10:05","23_2","nestbox",20.15,,,,,,17.31,"u","Pullus"
"58V92652",,"Pm","5/25/2015","Breeding2015","10:05","23_2","nestbox",17.38,,,,,,17.32,"u","Pullus"
"58V92653",,"Pm","5/25/2015","Breeding2015","10:05","23_2","nestbox",17.11,,,,,,16.4,"u","Pullus"
"58V92654",,"Pm","5/25/2015","Breeding2015","10:05","23_2","nestbox",18.1,,,,,,17.71,"u","Pullus"
"58V92655",,"Pm","5/25/2015","Breeding2015","11:05","23_1","nestbox",,,,,,,18.33,"u","Pullus"
"58V92656",,"Pm","5/25/2015","Breeding2015","11:05","23_1","nestbox",,,,,,,17.99,"u","Pullus"
"58V92657",,"Pm","5/25/2015","Breeding2015","11:05","23_1","nestbox",17.98,,,,,,18.71,"u","Pullus"
"58V92658","0700EDBB36","Pm","5/25/2015","Breeding2015","11:20","23_2","nestbox",17.5,,,,,76,17.39,"m","AD"
"58V92659","0700EDFA1D","Pm","5/25/2015","Breeding2015","11:25","23_3","nestbox",17.47,,,,,75,16.55,"f","AD"
"58V92660",,"Pm","5/25/2015","Breeding2015","11:30","23_1","nestbox",17.66,,,,,,18.09,"u","Pullus"
"58V92661",,"Pm","5/25/2015","Breeding2015","11:30","23_1","nestbox",,,,,,,17.43,"u","Pullus"
"58V92662",,"Pm","5/25/2015","Breeding2015","11:30","23_1","nestbox",16.49,,,,,,17.57,"u","Pullus"
"58V92663",,"Pm","5/25/2015","Breeding2015","11:55","23_3","nestbox",16.9,,,,,,17.39,"u","Pullus"
"58V92664",,"Pm","5/25/2015","Breeding2015","11:55","23_3","nestbox",17.95,,,,,,18.19,"u","Pullus"
"58V92665",,"Pm","5/25/2015","Breeding2015","11:55","23_3","nestbox",,,,,,,17.73,"u","Pullus"
"58V92666",,"Pm","5/25/2015","Breeding2015","11:55","23_3","nestbox",,,,,,,18.95,"u","Pullus"
"58V92667",,"Pm","5/25/2015","Breeding2015","12:10","23_3","nestbox",17.36,,,,,,17.58,"u","Pullus"
"58V92668",,"Pm","5/25/2015","Breeding2015","12:10","23_3","nestbox",18.62,,,,,,17.93,"u","Pullus"
"58V92669",,"Pm","5/25/2015","Breeding2015","12:10","23_3","nestbox",,,,,,,18.25,"u","Pullus"
"57V84702","0700EDB574","Pm","9/15/2015","Autumn2015","9:00","FORNALAB","Funnel",20.01,,,,,73,,"f","AD"
"58V92589","0700EDE1F1","Pm","9/15/2015","Autumn2015","8:45","FORNALAB","Funnel",19.99,,,,,75,,"m","AD"
