"0700ED8658" "0700ED86D1" "0700ED8779" "0700ED8D41" "0700ED91C4" "0700ED94DB" "0700ED94DD" "0700ED957D" "0700ED9728" "0700ED9928" "0700ED9C52" "0700ED9D4D" "0700ED9D63" "0700EDA092" "0700EDA143" "0700EDA584" "0700EDA701" "0700EDA75A" "0700EDA801" "0700EDA8D7" "0700EDA93F" "0700EDA980" "0700EDA992" "0700EDAA73" "0700EDAC10" "0700EDAD94" "0700EDADF9" "0700EDB0F1" "0700EDB383" "0700EDB3DC" "0700EDB526" "0700EDBC2D" "0700EDC5A2" "0700EDCA78" "0700EDD1DD" "0700EDDA92" "0700EDDAD0" "0700EDDB61" "0700EDDD0E" "0700EDDDFC" "0700EDE53A" "0700EDE871" "0700EDE928" "0700EDEA3B" "0700EDEB7A" "0700EDEC89" "0700EDED2F" "0700EDEDE9" "0700EDEE3D" "0700EDF1D0" "0700EDF632" "0700EDFA1D" "0700EE01F9" "0700EE02A3" "0700EE0398" "0700EE0DDB" "0700EE11ED" "0700EE1299" "0700EE1866" "0700EE1B45" "0700EE1C66" "0700EE1C8C" "0700EE1D6A" "0700EE1E8D" "0700EE1FC5" "0700EE211F" "0700EE2A4A" "0700EE3535" "0700EE35ED" "0700EE3619" "0700EE3840" "0700EE3D31" "0700EE42B4" "0700EE4358"
"0700ED8658" 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0.285714285714286 0 0 0 0.5 0 0 0.5 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0
"0700ED86D1" 0 0 0 0.333333333333333 0.2 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0.142857142857143 0 0 0 0.2 0 0.2 0.2 0 0 0.166666666666667 0 0.142857142857143 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0
"0700ED8779" 0 0 0 0 0 0 0 0.25 0 0.25 0 0 0 0 0 0.285714285714286 0 0 0 0.142857142857143 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0.1 0 0.2 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0.166666666666667 0.125 0.285714285714286 0 0 0 0 0.25 0 0 0.25 0 0 0 0.25 0 0 0.125 0.142857142857143 0 0 0 0 0 0
"0700ED8D41" 0 0.333333333333333 0 0 0.5 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0.5 0 0.142857142857143 0 0 0.2 0.2 0.25 0 0 0 0 0.4 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0
"0700ED91C4" 0 0.2 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0.5 0 0.25 0 0.25 0 0.428571428571429 0 0 0.142857142857143 0.142857142857143 0.4 0.333333333333333 0 0 0 0.8 0 0 0.166666666666667 0 0 0 0.75 0 0.2 0.142857142857143 0 0.2 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0
"0700ED94DB" 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 1 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700ED94DD" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0.2 0 0 0 0.5 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.25 0 0 0 0 0
"0700ED957D" 0 0 0.25 0 0 0 0 0 0 0.166666666666667 0 0 0 0.142857142857143 0 0.222222222222222 0 0 0.181818181818182 0.666666666666667 0 0 0 0 0 0.25 0.428571428571429 0 0.25 0 0 0 0.0833333333333333 0 0.142857142857143 0 0 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0.5 0.222222222222222 0.222222222222222 0 0 0 0.111111111111111 1 0 0 0.166666666666667 0 0.222222222222222 0 0.2 0 0 0.375 0.25 0 0 0.125 0 0 0
"0700ED9728" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0.5 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0.142857142857143 0 0 0.142857142857143 0 0 0 0 0.428571428571429 0 0 0 0 0 0 0.2 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0.6 0.2 0
"0700ED9928" 0 0 0.25 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0.2 0 0 0 0.25 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0.2 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0.2 0.25 0 0 0 0 0 0
"0700ED9C52" 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.142857142857143 0 0 0 0 0 0 0.25 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0
"0700ED9D4D" 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0.375 0 0 0.5 0 0.142857142857143 0.125 0 0.2 0 0.111111111111111 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0700ED9D63" 0 0.333333333333333 0 0.333333333333333 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0.333333333333333 0 0.5 0 0 0 0.333333333333333 0 0 0 0.2 0.25 0.2 0 0 0 0.4 0 0 0.25 0 0 0 0.666666666666667 0 0.333333333333333 0.2 0 0.333333333333333 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0
"0700EDA092" 0 0 0 0 0 0 0.333333333333333 0.142857142857143 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0.25 0.166666666666667 0 0 0 0 0 0.142857142857143 0 0 0 0 0 0 0.142857142857143 0 0 0.166666666666667 0 0.25 0 0 0 0 0
"0700EDA143" 0.5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0.142857142857143 0 0 0 0 0 0 0.25 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0
"0700EDA584" 0 0 0.285714285714286 0 0 0 0 0.222222222222222 0 0.2 0 0 0 0.166666666666667 0 0 0 0 0 0.285714285714286 0 0 0 0 0.2 0 0.125 0 0 0 0 0 0.333333333333333 0 0.4 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0.333333333333333 0.428571428571429 0.25 0 0 0 0 0.222222222222222 0 0 0 0 0 0.2 0.222222222222222 0 0 0.666666666666667 0.125 0.142857142857143 0 0 0 0 0
"0700EDA701" 0 0.25 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0.166666666666667 0.4 0 0 0 0 0.5 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0.4 0 0
