"0700ED8779" "0700ED88B0" "0700ED8CD7" "0700EDA701" "0700EDA8D7" "0700EDA93F" "0700EDAA73" "0700EDB2F7" "0700EDDDFC" "0700EE01F9" "0700EE03BB" "0700EE0DDB" "0700EE19E9" "0700EE268A" "0700EE26BC" "0700EE2A4A" "0700EE2B32" "0700EE309F" "0700EE3840" "0700EE44D4"
"0700ED8779" 0 0 0 0 0 0 0 1 0 0 0 0.25 0 0 0 1 0 0 0 0
"0700ED88B0" 0 0 0 0 0 1 1 0 0 1 1 0.25 0 0 0 0 0 0 0 0
"0700ED8CD7" 0 0 0 0 0 0 0 0 0.666666666666667 0 0 0 0 0.333333333333333 0 0 0 0 0 1
"0700EDA701" 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0.5 1 1 0
"0700EDA8D7" 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0.5 1 1 0
"0700EDA93F" 0 1 0 0 0 0 1 0 0 1 1 0.25 0 0 0 0 0 0 0 0
"0700EDAA73" 0 1 0 0 0 1 0 0 0 1 1 0.25 0 0 0 0 0 0 0 0
"0700EDB2F7" 1 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 1 0 0 0 0
"0700EDDDFC" 0 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666666666666667
"0700EE01F9" 0 1 0 0 0 1 1 0 0 0 1 0.25 0 0 0 0 0 0 0 0
"0700EE03BB" 0 1 0 0 0 1 1 0 0 1 0 0.25 0 0 0 0 0 0 0 0
"0700EE0DDB" 0.25 0.25 0 0 0 0.25 0.25 0.25 0 0.25 0.25 0 0 0 0.2 0.25 0 0 0 0
"0700EE19E9" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0.5 1 1 0
"0700EE268A" 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333
"0700EE26BC" 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0
"0700EE2A4A" 1 0 0 0 0 0 0 1 0 0 0 0.25 0 0 0 0 0 0 0 0
"0700EE2B32" 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0.5 0.5 0
"0700EE309F" 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0.5 0 1 0
"0700EE3840" 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0
"0700EE44D4" 0 0 1 0 0 0 0 0 0.666666666666667 0 0 0 0 0.333333333333333 0 0 0 0 0 0
