"0700ED86D1" "0700ED872E" "0700ED8779" "0700ED88B0" "0700ED8C0C" "0700ED8CD7" "0700ED8F16" "0700ED9147" "0700ED91C4" "0700ED91F3" "0700ED9731" "0700ED9DB4" "0700EDA218" "0700EDA584" "0700EDA75A" "0700EDA8D7" "0700EDA916" "0700EDA93F" "0700EDA980" "0700EDAA73" "0700EDAC8D" "0700EDB21D" "0700EDB2F7" "0700EDB8E1" "0700EDBA40" "0700EDBD41" "0700EDC250" "0700EDC4CF" "0700EDCEC1" "0700EDD569" "0700EDD6C9" "0700EDDA6A" "0700EDDA92" "0700EDDDFC" "0700EDDFD1" "0700EDE2C5" "0700EDE442" "0700EDE9A5" "0700EDEBED" "0700EDEC75" "0700EDED2F" "0700EDF1D0" "0700EDF632" "0700EDF954" "0700EE008D" "0700EE0188" "0700EE01F9" "0700EE0398" "0700EE03BB" "0700EE045B" "0700EE0558" "0700EE07BA" "0700EE0AF9" "0700EE0B90" "0700EE0FED" "0700EE12BB" "0700EE14BE" "0700EE166F" "0700EE1827" "0700EE19E9" "0700EE209F" "0700EE228D" "0700EE268A" "0700EE26BC" "0700EE27DF" "0700EE2A4A" "0700EE2B22" "0700EE2C34" "0700EE30E1" "0700EE3308" "0700EE3535" "0700EE3A07" "0700EE3CE0" "0700EE40FF" "0700EE4366" "0700EE44D4"
"0700ED86D1" 0 0 0 0 0 0.125 0 0 0.117647058823529 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0.153846153846154 0.357142857142857 0 0 0 0 0.25 0.142857142857143 0 0 0 0.0833333333333333 0 0 0 0 0.1 0 0.25 0 0.1 0 0 0 0 0.375 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0.181818181818182 0 0 0 0 0.0714285714285714 0 0.272727272727273
"0700ED872E" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0 0 0 0 0 0 0 0 0 0
"0700ED8779" 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0.5 0 0 0 0 0 0.1 0 0.111111111111111 0 0 0 0 0 0 0 0
"0700ED88B0" 0 0 0 0 0 0 0.166666666666667 0 0.185185185185185 0.166666666666667 0 0 0 0 0 0 0 0.5 0 0.631578947368421 0 0.578947368421053 0 0 0 0.166666666666667 0.0555555555555556 0 0 0 0 0.4 0.111111111111111 0 0 0 0.277777777777778 0.166666666666667 0 0 0 0 0 0 0.0555555555555556 0 0.277777777777778 0 0.65 0 0 0.444444444444444 0 0 0 0 0 0.526315789473684 0 0 0 0.684210526315789 0 0 0 0 0 0 0 0.5 0 0.15 0 0.037037037037037 0 0
"0700ED8C0C" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"0700ED8CD7" 0.125 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0.307692307692308 0 0 0 0 0 0 0 0 0 0 0 0 0.272727272727273 0.285714285714286 0 0 0 0 0.166666666666667 0.4 0 0 0 0.2 0 0 0 0 0.428571428571429 0 0.1875 0 0.428571428571429 0 0 0 0 0.111111111111111 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0.333333333333333 0 0 0 0 0.166666666666667 0 0.444444444444444
"0700ED8F16" 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0.0666666666666667 0 0.0714285714285714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0.142857142857143 0 0.2 0 0 0.1 0 0 0 0 0 0.0769230769230769 0 0 0 0.214285714285714 0 0 0 0 0 0 0 0.0714285714285714 0 0.142857142857143 0 0.0833333333333333 0 0
"0700ED9147" 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0.0769230769230769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0
"0700ED91C4" 0.117647058823529 0 0 0.185185185185185 0 0.2 0 0 0 0.0625 0 0 0 0 0.421052631578947 0 0 0.277777777777778 0 0.125 0 0.181818181818182 0 0 0 0 0 0.263157894736842 0.272727272727273 0 0 0.0909090909090909 0.0666666666666667 0.142857142857143 0.0625 0 0.117647058823529 0.0625 0.157894736842105 0 0 0 0 0.333333333333333 0.0714285714285714 0.380952380952381 0.0555555555555556 0.25 0.0740740740740741 0 0 0.1 0.25 0 0 0 0 0.0869565217391304 0 0 0 0.12 0.166666666666667 0 0 0 0 0 0.375 0.130434782608696 0 0 0 0.2 0.0714285714285714 0.210526315789474
"0700ED91F3" 0 0 0 0.166666666666667 0 0 0 0 0.0625 0 0 0 0 0 0 0 0 0.333333333333333 0 0.230769230769231 0 0.0714285714285714 0 0 0 0.2 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0.0588235294117647 0 0 0.1 0 0 0 0 0 0.166666666666667 0 0 0 0.0625 0 0 0 0 0 0 0 0.0714285714285714 0 0 0 0 0 0
