"bird_tag","betw","eigen","degree","strength","BIRD_ID","cort_orig","cort_ind","barl_orig","barl_ind","sex","age","fdens_orig","fdens_ind"
"0700ED86D1",109,0.0939181067486895,216,24.6705049211211,"59V39164",NA,NA,12.048404888,NA,"m","AD",NA,NA
"0700ED86F4",269,0.396110569285961,244,19.6470657806495,"59V39771",NA,NA,14.6892331,NA,"m","1Y",NA,NA
"0700ED872E",0,0.507362321008367,202,23.0392803888415,"59V39763",0.057658341989932,0.027548719609983,15.185675325,9.9693114895,"f","AD",0.000115334433208983,0.000115550142865602
"0700ED8779",278,0.732314801144673,352,29.6824834196479,"11024489",NA,NA,NA,NA,NA,"1Y",NA,NA
"0700ED88B0",1114,0.0801674502507105,176,28.5694210958303,"12126375",NA,NA,NA,NA,"f","1Y",NA,NA
"0700ED8AC1",22.5833333333333,0.0212513919302362,108,2.97329057800426,"12126126",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED8B63",0,0.00503463895165961,60,2.21492034447298,"59V39746",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED8BA8",124,0.522886683091746,182,21.1951079176164,"59V39409",NA,NA,NA,NA,"f","1Y",NA,NA
"0700ED8C0C",4,0.183785110804261,252,16.8040604400239,"59V39002",NA,NA,NA,NA,"f","AD",NA,NA
"0700ED8C9F",0,0.00408381875997833,78,0.804100661735217,"12126269",NA,NA,NA,NA,"f","AD",NA,NA
"0700ED8CD7",145,0.116418928451307,198,27.3009693015194,"59V39199",0.024311351707025,0.062992102686656,14.38018461,11.09587222,"f","AD",0.000118344535137595,0.00011428348383176
"0700ED8F16",0,0.00546948573057722,84,3.32488811142382,"59V39134",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED9040",751,0.109302662415933,290,21.5553908640704,"59V39998",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED90DC",4104,0.823191226110846,270,33.5966776520544,"12126363",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED9126",21,0.460909474618936,188,20.9131423160369,"59V39166",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED9147",504,0.199195824456417,346,13.9959388708529,"12126370",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED91C4",4,0.21925562828284,270,18.9204403134833,"59V39195",NA,NA,NA,NA,"f","1Y",NA,NA
"0700ED91F3",6,0.0194882134784927,176,2.5957972699614,"14157519",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED92EF",7,0.270859309287999,254,13.853028406099,"59V39837",0.00623268346374,0.096615774499,14.246511735,11.12636459,"f","1Y",0.000108181131754209,0.000108508993868578
"0700ED9433",0,0.0116746637470719,74,1.87668694791172,"12126397",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED94AA",0,0.00701689602897915,60,0.30418122743621,"58V92957",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED957D",0,0.734610711139394,206,31.6456000297079,"59V39181",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED96E3",6,0.739330754852777,208,31.4491344053584,"59V39008",0.022817664622017,0.014826545190277,14.6520914,11.7775982,"f","AD",0.00011505825393605,0.000117759241947665
"0700ED9728",0,0.0138956359161685,74,0.585454216196442,"59V39157",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED972F",131,0.826600361591752,212,30.7687265099623,"59V39831",0.003231246983443,1.47304035973401,15.393592595,12.4888288,"m","1Y",0.000124452261097372,0.000123696603035893
"0700ED9731",13,0.464342809239992,212,22.0891595495075,"12126355",NA,NA,NA,NA,"m","1Y",NA,NA
